course,course_name,short_description,long_description
FRSEMR 43C - Human Rights and the Global South,FRSEMR 43C , Human Rights and the Global South,"Description:  Human rights have become a global lingua franca, invoked by leaders and movements across the political, religious and cultural spectrum. Because they can come into conflict with each other, human rights can serve to justify wars (to combat terrorists), religious intolerance (to counter fundamentalists), gender discrimination (to support religious tenets), refusal of safe haven to refugees (to promote domestic human security). Despite over half a century of international law making and domestic enactment of human rights treaties, and despite a vibrant civil society that has embraced human rights principles world-wide, remedies for violations such as torture, rape, genocide, political or economic persecution, and crippling destitution, remain elusive. This dilemma is particularly clear in situations of forced migration, when vulnerable populations are separated from individuals and institutions that traditionally provide support. This seminar will focus on the Global South and address key issues in contemporary human rights theory and practice through the lens of displaced, disenfranchised, and threatened individuals and groups. Members of the seminar will first study the philosophical and political traditions that led to codification of human rights. The seminar will then cover the legal frameworks of contemporary international human rights and humanitarian law and examine how they affect some of the most egregious human rights violations of the current period. Case studies of pivotal controversies and decisions will be examined to explore such questions as who is a refugee or an internally displaced person (IDP), what is trafficking, when is deportation justified, what protections do civilians have in conflict settings, and what are major crimes of atrocity and war."
FRSEMR 43J - The Economist's View of the World,FRSEMR 43J , The Economist's View of the World,"Description:  This seminar probes how economic thinkers from the right and left view human behavior and the proper role of government in society. Each week, seminar participants read and discuss a brief, nontechnical, policy-oriented book by a prominent economist. There will also be required writing assignments. Students must have some background in economics, such as an AP economics course in high school or simultaneous enrollment in Economics 10."
"FRSEMR 43W - History, Nationalism, and the World: the Case of Korea",FRSEMR 43W ," History, Nationalism, and the World: the Case of Korea",Description:  The colonialism and postcolonial division of Korea into North and South thrust the memory of past events into current political discussions as well as scholarly debates. This seminar investigates selected events in Korean history to map the interaction between historical writing and politics and to address questions such as why historians have emphasized certain periods and aspects of Korean history while ignoring others.
"FRSEMR 44J - Clash of Titans, Seats of Empire: The Aztecs, Toltecs, and Race of Giants in Ancient Mexico",FRSEMR 44J ," Clash of Titans, Seats of Empire: The Aztecs, Toltecs, and Race of Giants in Ancient Mexico","Description:  The film ""Clash of Titans"" was a British extravaganza dedicated to exploring the ancient Greeks' concepts of the interactions between humans and their gods. In Ancient Mexico, the tale of Topiltzin Quetzalcoatl, Toltec Prince of Tula, is the best-known example of the intervention of rival gods, in the affairs of kingdoms and empires, and serves as the point of departure for our seminar. Just as the Greeks countenanced sacrifices and political assassinations, in Ancient Mexico the three great empires practiced human sacrifice, regicide, and engaged heavily in warfare which was vital in their statecraft and economy. We will explore how these central components were explained and justified in their mythology, why reciprocity with the gods was so vital, and how and why each empire came to a violent end. We begin with the first-person description of the Aztec Empire and its violent conquest, penned by a foot solider in Hernan Cortes's army, Bernal Diaz del Castillo. In the following weeks we will explore the environmental basis, religious dimensions, and social and political development of civilization, cities, at the three seats of empire in ancient Mexico. We will make extensive use of Peabody Museum collections, archaeological studies, historical accounts, and recent films and other media to critically examine ancient practices and current perceptions of the Aztec empire (1428-1519 CE); its predecessor the legendary Toltec empire of Tula (850-1100 CE); and the foundational Teotihuacan empire (100-550 CE), known as ?The City of the Gods? to people throughout the region. The Aztecs and Toltecs went to Teotihuacan on pilgrimage every 20 days, because the scale of that ancient city was so massive, the architecture so impressive, and the religious art and historical lore so compelling, that the Aztecs had a legend that it was built in an earlier creation, by a race of giants. Seminar participants will explore how the biases of the observer play a role in describing and explaining ?the Other.? Students will analyze the ways in which religion and the quest for power fueled the genesis, expansion and demise of all three empires. First-years in this seminar will also explore the ways in which the living descendants of the Aztecs are reviving their traditional culture and how the Pre-Columbian civilizations are integral to the national identity of Mexico and Chicanos in this country, vs. the way they are portrayed in Hollywood and U.S. popular culture, through films and other media in the U.S. and Mexico."
FRSEMR 48K - Political Legitimacy and Resistance: What Happened in Montaigne's Library on the Night of October 2,FRSEMR 48K , Political Legitimacy and Resistance: What Happened in Montaigne's Library on the Night of October 2,"Description:  Explores the theories of political legitimacy and justified resistance to authority developed by the persecuted Protestants during the French Wars of Religion, and traces the influence of these ideas about political obligation and religious conscience on some of the major figures in modern political philosophy from Hobbes to Kant. Students should be prepared to engage in both historical detective work and philosophical reflection. All required reading will be in English."
"FRSEMR 49G - The Holocaust in History, Literature, and Film",FRSEMR 49G ," The Holocaust in History, Literature, and Film","Description:  This seminar will approach the Nazi persecution of European Jewry from several disciplinary perspectives. Initially the seminar will explore the topic historically. In these weeks, the seminar will use a variety of historical materials dealing with the history of European anti-semitism, German history from Bismarck to the accession of Hitler, the evolution of anti-Jewish persecution in the Third Reich, and the history of the Holocaust itself. Sources to be used will include primary sources produced by the German government 1933-1945, by Jewish victims-to-be or survivors, documentary films, and secondary interpretations. The aims of this part of the seminar will be to understand the basic background to and narrative of the Holocaust, to introduce freshmen to the use of primary historical sources, and to familiarize them with some of the major historiographical debates. Then the members of the seminar will ponder religious and theological reactions to the Holocaust. Here the seminar will use literary and cinematic resources as well as discursive theological ones. The seminar will also consider the historical question of the role played by the Protestant and Catholic churches and theologies in the Holocaust. The seminar will conclude with an assessment of the role played by the Holocaust in today?s world, specifically in the United States. Throughout the seminar, participants will use various literary and cinematographic sources and test their limits in helping to understand and to represent the Holocaust."
FRSEMR 50I - The Temporal Universe,FRSEMR 50I , The Temporal Universe,"Description:  The Universe is not static, but rather stars and entire galaxies are evolving as revealed by their variability on timescales ranging from milliseconds for collapsed stars (neutron stars and black holes) to gigayears for stars and galaxies. In this seminar we shall explore stars and nuclei of galaxies through variability?from how brightness variability of stars with binary companions measured with small telescopes measures star masses and radii, to the extremes of variability of stars that undergo repeated huge flares, to enormously luminous variations from accretion onto gargantuan black holes in the nuclei of ?Active Galaxies? (blazars and quasars). We shall use the Clay Telescope on the Science Center roof to make some repeated observations (from the 8th floor Astronomy Lab) of several types of variable stars and accretion-powered binaries and deduce what life would be like if either were our Sun. From a blazar, we shall observe historical outbursts that occasionally change brightness to exceed its host galaxy by a factor of ~100, by using the digitized brightness measures on thousands of glass plate images taken by Harvard telescopes from 1885?1992 and now digitized and on-line from our digital access to a Sky Century @ Harvard (DASCH) project. The seminar will include readings from an introductory astronomy text as well as both popular and journal articles and the short books Black Hole (Bartusiak) and Black Hole Blues (Levin). Students will use astronomical software to measure stellar brightness and variability from telescope images as well as learn temporal analysis techniques with applications to other disciplines. Students discuss in-class readings and observations conducted and write short papers on their observations and deductions."
FRSEMR 50M - How Stuff Works,FRSEMR 50M , How Stuff Works,"Description:  The rise of electronics-based technology has completely revolutionized the world over the last thirty years giving rise to new ways to be entertained, to communicate, and to work. Advancements in electronics have been primarily based on the chemistry and physics of new and improved electronic, magnetic, and optical properties of the underlying materials. This course will focus on discussing and understanding how stuff works with a particular focus on electronic and optical devices. In addition, we will learn about how magnetic stuff works, where color comes from, about modern fabrics, and other topics that students would find interesting. The course will also have the students read, research, and discuss what future innovations and technologies might be possible. Students will be encouraged to be active participants in prognostication. Students will have to write a paper on a future technology or innovation that they predict will be commonplace in the future or on the topic of how XXXX works."
FRSEMR 50R - What Do You See in the Night Sky?,FRSEMR 50R , What Do You See in the Night Sky?,"Description:  People around the world observe the same basic celestial phenomena- the rise and set of stars, the changing phases of the moon, the occasional bewildering eclipse. But cultures have come to interpret these signs very differently, giving rise to diverse calendar systems and mythological frameworks. For instance, the position of the sun, the visibility of star formations, and the lunar cycle have all been used to define the concept of the year, sometimes with more than one definition operating in a single culture. We will perform a survey of traditional astronomical systems, highlighting the original aspects of each and trying to understand the origin of differences. Why were some observations considered more significant than others (Which is more important, the shape of the moon or the identity of stars around it?)? How did mundane pressures, such as the need to sow and reap, influence how cultures tracked celestial motion? We will end with a more detailed exploration of the early Western and Arab astronomy. What specific advancements and conditions allowed them ultimately to ?get it right??"
FRSEMR 50U - Bio?Inspiration and Innovation,FRSEMR 50U , Bio?Inspiration and Innovation,"Description:  In the course of evolution, Nature has developed strategies that endow biological processes and materials with exquisite selectivity, specificity, and adaptability to a constantly changing environment. Learning from and mastering Nature's concepts not only satisfies humankind's insatiable curiosity for understanding the world around us, but also promises to drive a paradigm shift in modern materials science and technology. This seminar will explore some of the basic principles of biological architectures and the economy with which biology solves complex problems in the design of novel materials. It will give us a taste of how the inspiration from nature teaches us to break barriers in technology and disruptively innovate. Often nature?s solutions to engineering problems are so different from our conventional ways of thinking that the most fruitful way to investigate them is not immediately obvious. We will be therefore engaged in a continuous dialogue: we study the biological material itself to begin to understand its underlying principles, adapt these concepts to design a bio-inspired architecture, and then apply insights from the designed system to guide further investigation of the biological system. The goal is to use biological principles as guidance in developing new, bio-inspired materials and devices, with broad implications in fields ranging from architecture to energy efficiency to medicine."
FRSEMR 50Y - A Sense of Space (and Time),FRSEMR 50Y , A Sense of Space (and Time),"Description:  What is space? What is time? How have humans viewed these over the years? How are the views of these shaped by our environments and cultures? We often employ spatial metaphors for social situations ? e.g. ?they?re very close,? or ?they split apart.? It seems that as concepts of space change, and our horizons are broadened, these changes are reflected in a shift in cultural awareness. In this seminar, we explore concepts of space in a number of cultures: Pacific Islanders, Western Apache, Brazilian Rain forest, to name a few. The human mechanism of spatial cognition is examined, along with the reuse of these parts of the mind in future planning, memory, and imagination. As the seminar progresses, we focus in on the shifts of the concepts of space in Western culture ? starting with ancient Greeks and Egyptians. We examine the period when astronomy and astrology were practiced side-by-side, and then turn to the world of Dante Alighieri, where space was married to concepts of morality and culture. Finally, the development of physics and astronomy from Galileo to the present has seen seismic shifts in the concept of space-time. These in turn were reflected in broader cultural shifts."
FRSEMR 51K - Technology vs. Nature: From Toggling Harpoons to Geoengineering,FRSEMR 51K , Technology vs. Nature: From Toggling Harpoons to Geoengineering,"Description:  Are we at the end of nature? What would it mean if we were? Advanced hunting technologies enabled our ancestors to hunt so efficiently that the human expansion out of Africa drove a wave of extinctions around the globe. No more mammoths. No more moas. Over the last millennia, technological innovation has dramatically reduced many environmental impacts on a per capita basis; but, technology simultaneously enabled a population explosion and caused new forms of environmental disruption. Technology is simultaneously a despoiler and savior of the environment. We will explore the shifting frontier between the natural and artificial through critical examination of globally transformative technologies such as climate geoengineering, Haber-Bosh nitrogen fixation, gene-drives and de-extinction. Solar geoengineering is the idea that humanity could deliberately intervene in the Earth?s climate to limit the risks of accumulating carbon dioxide. It?s the focus of my own research. It serves as the central motivating case though which the class will explore broader questions about environmentalism in the 21st century. We will read selections from great environmental writings such as The End of Nature to Desert Solitaire along with new writing about the Anthropocene. I aim to help students find their own voice through writing short informal blog posts, commenting on posts by peers, and participating in class debate. The human connection to the natural world cannot be rightly understood in the abstract. So, we will take the class outside, from short explorations on campus, to an organized day-hike."
FRSEMR 60H - Faith and Fiction in American History,FRSEMR 60H , Faith and Fiction in American History,"Description:  This seminar uses key literary works to explore some of the most difficult and demanding questions in the religious history of the United States: Does God have a special relationship with the United States? Is sin an individual responsibility or a social flaw? Why has American religion been so frequently concerned with sexuality? How has religion shaped racial identities and tensions? How does it inform domestic relationships? How do non-Christian immigrants find a place and a voice in a nation with deeply entrenched Christian traditions? To explore these and other areas of concern, we bore into the faith-inflected cultures of American history through the imagined narratives of some of its most celebrated writers, including the likes of Catharine Sedgwick, Harriet Wilson, Flannery O?Connor, James Baldwin, Rudolfo Anaya, Pearl Abraham, Ayad Akhtar, and Marilynne Robinson. I will offer mini-lectures to contextualize these works in their historical moment. We will read some scholarly work to sharpen our tools of analysis, but mostly we will read and talk about the novels themselves. The seminar aims to be both analytically rigorous and aesthetically rewarding."
FRSEMR 60K - The Grail Quest of Marcel Proust,FRSEMR 60K , The Grail Quest of Marcel Proust,"Description:  We will read Chretien de Troyes? Tale of the Grail, the most ancient known Grail story (c. 1190) and large excerpts of Marcel Proust?s In Search of Lost Time, which I propose to read as a Grail quest, involving a young ignorant hero discovering the world and seeking something else than money, fame, and love (but also money, fame, and love). Through comparing a medieval and a modern text we will reflect on the passing of time, modernity and memory, reality and fiction, romance and novel. We will focus on the visual aspects of both stories, whose heroes share a contemplative/voyeuristic temper. The Tale of the Grail has generated an immense corpus of images from thirteenth-century illuminated manuscripts to the 1895 Edwin Austin Abbey wall paintings at the Boston Public Library and Grail films (1975 Monty Python Holy Grail, 1981 Raiders of the Lost Ark, etc.). In Search of Lost Time has been called a ?cathedral work,? that is, like a gothic cathedral, a space of eclectic visions. Real and fictional paintings illuminate the novel like a medieval manuscript. All members of the seminar will be invited to share their experiences of reading, viewing, and writing. Texts will be available in English and French. The seminar will follow the model of a quest: each class will be held in a different location (Harvard house, museum, garden, etc.) in the Boston area."
FRSEMR 60Z - Go Rococo! Techniques in Digital Design,FRSEMR 60Z , Go Rococo! Techniques in Digital Design,"Description:  At the beginning of the 18th century, baroque architecture and art in Western Europe entered a new phase called the Rococo, characterized by extreme visual complexity, ornamentation, and the collapse of compositional and political hierarchy. Architectural interiors became excessive (or at least no longer classically ordered) during this period, filled almost to the point of overflowing with painting, sculpture, and decoration, much of it depicting characters in mischievous and compromising postures. This seminar will examine the Rococo as a precedent for reflection on problems in contemporary design and as a provocation to create new work using digital design tools. Coursework will be founded on two related propositions: first, that the architecture and art of the Rococo are remarkably similar to the visual and material culture of the present day; and second, that contemporary design stands to benefit from a close examination of its predecessor. Activities will be divided between reading, writing, and making. Each week, students will examine a Rococo building precedent, reading the architecture against a series of texts on contemporary design issues. In addition, each student will undertake a semester?long design project using digital design tools to create and animate an architectural interior in the manner of the Rococo. Software tutorials on the Adobe Creative Cloud software suite will be provided in class. Readings and tutorials will be supplemented with field trips to the Houghton Library and Fogg Museum to experience Rococo artifacts first?hand."
FRSEMR 61H - Jefferson and Hamilton: Dueling American Visions,FRSEMR 61H , Jefferson and Hamilton: Dueling American Visions,"Description:  It is often said that the United States is a country based upon ideas, rather than blood ties. Shortly after the end of the American Revolution, and during the ratification of the Constitution, it became apparent that the people who had helped to make the Revolution differed about exactly what ideas would define America?s experiment in self-government. Two men, Thomas Jefferson and Alexander Hamilton, symbolized the conflicting visions that emerged once the revolutionaries began the business of running a new country. Jefferson was Secretary of State and Hamilton was Secretary of Treasury in Washington?s cabinet. They started cordially enough, but their contrasting views about politics and government quickly hardened into personal enmity. Much to President Washington?s chagrin, they battled in cabinet meetings and-- through surrogates and pseudonyms?in newspapers. Their clash helped create two-party politics in America, as each man attracted adherents to their respective visions of the future of the United States. Jefferson was the rural ?man of the people?, anti-British to his core, and supporter of the French Revolution. Hamilton was the urban friend of the elites in society, admirer of the British government, and opponent of the French Revolution. Their arguments about the true nature of American society continue today. This seminar will examine Jefferson and Hamilton as men, the way they fought their battle, and the nature of Jeffersonian and Hamiltonian visions. What did the men and their visions mean at the time, and what do they mean to us today?"
"FRSEMR 61J - No Fear, No Hate, No Pain? Questioning Identify and its Others in Modern Literature about Spain",FRSEMR 61J ," No Fear, No Hate, No Pain? Questioning Identify and its Others in Modern Literature about Spain","Description:  What?s the connection between fear, hate, pain and identity? To what extent are our personal and collective identities shaped by received ideas of ?others?? Does questioning ?others? help us understand our ideas of culture, nation, and polity? How do these questions help us understand our position in current political debates? What?s the value of asking these questions when we read modern literature about Spain? Najat El Hachmi will guide us in her turn-of-the-century journey of emancipation between Morocco and Barcelona. A journalist going by the same name as novelist Javier Cercas will rely on fiction to tell the truth of an anonymous hero of the Spanish Civil War. Juan Jose Saer, an Argentine writer living in France, will tell us an unsettling narrative of survival set in the 16th century about a 15-year-old cabin boy who was captured en route from Spain to the New World, and lived among cannibals for a decade. Carmen Laforet and Leopoldo Alas will spin tales of grit and self-reliance about a Catalan teenager and a Galician spinster in times of socio-political repression. Federico Garcia Lorca?s poems will show us a kaleidoscopic view of Depression-era New York. Among the aims of this seminar is to discuss how autobiography, fiction and poetry may challenge and entice readers to consent to or dissent from such representations. That is why this seminar also introduces students to different literary traditions while providing them with essential skills of literary analysis such as close reading and conceptual and historical framing."
FRSEMR 61K - Life Lessons from Professional Killers: What We Can Learn from the Samurai,FRSEMR 61K , Life Lessons from Professional Killers: What We Can Learn from the Samurai,"Description:  Is it possible to fail successfully? Should we be more beholden to the needs of others or to our own ambitions? Is there a set moral standard by which we should live our lives? What should we be prepared to sacrifice for higher goals?and what if pursuing those goals causes suffering to others? When should we take a risk? Is there such a thing as an ideal human being? Questions such as these have animated the figure of the samurai for nearly a millennium, captivating imaginations both in Japan and around the globe. What is it about this figure that speaks to some of our deepest questions about how to live a model human life? In this seminar, we will explore together the many meanings people have invested in the Japanese warrior, from medieval epics to kabuki plays, modern novels to propaganda, manga and anime to global cinematic blockbusters. (Tom Cruise, anyone?) Our focus will be less on the historical realities of the samurai than on the ways people have chosen to imagine them?and to what ends. In the process, we will consider what we ourselves might learn from this complex, fraught, appealing, and possibly dangerous figure. Our ?life lessons? from the samurai will include (among others), ?How to be a spectacular failure,? ?How to face the consequences of your actions,? ?How to justify your existence,? ?How to get revenge,? and ?How to make your brand go global.?"
FRSEMR 61L - ?Get Out of My Space!? Making Sense of Our Built Environment,FRSEMR 61L , ?Get Out of My Space!? Making Sense of Our Built Environment,"Description:  Today space is at a premium. We all want space, but what sort of space do we want? We have social space, virtual space, personal space, safe space, collective space. How much space is there? Can we run out of it? How much do you need when you tell me: ?Get out of my space!? What makes it ?yours?? How do we make space? Who controls it? Architecture helps us define space. We live, study, work and play in buildings and cities that have become the stages for our everyday lives, helping us do what we do and live our present. But architecture has another much more important function: It helps us imagine other possible ways of living. Architecture helps us envision the spaces we want to live in. In this seminar, we will explore the different ways in which we have created, claimed, fought over, shared and continue to imagine space. Our discussions will put a premium on the way architects, artists and social actors have produced space, and how their ideas and projects guide the way we understand our constructions of space. We will make space through hands-on projects such as mapping social networks and transforming your space through the technique of collage. These projects will challenge and help you record, transform and produce space. This seminar is designed to enrich your knowledge of space so that you may take a position on contemporary social questions, debate the nature of our built environment, and claim space for yourself."
FRSEMR 61P - Fighting Monsters: Gothic Fiction as Social Critique,FRSEMR 61P , Fighting Monsters: Gothic Fiction as Social Critique,"Description:  In this seminar we explore how Gothic fiction makes use of the figure of the monster to question social norms. What do vampires, zombies and cyborgs tell us about ourselves and our culture? We begin in the 18th-century, when Enlightened Europe witnessed an unprecedented vampire epidemic. Modern monsters such as the vampire entered the cultural stage at the same time as the core values that have defined Western democracies ever since were taking off: free will, free press, religious tolerance and human equality. What role did literary monsters play in the definition of these ideas? What role do they play today, when these freedoms are in jeopardy? Chasing various monster figures into the 21st century, we explore how their stories reflect the social conflicts of their time and ours. Texts from canonical American, British, French and German authors invite us to understand the perspective of those whom society excludes because they don?t fit its norms or they voice dissent. While we will encounter plenty of ?classic? monsters, we will investigate the roles of all kinds of societal ?others,? from madmen, trauma victims, and minorities, to death row inmates. Topics include: media revolutions, use and abuse of technological progress, revolution of sexuality, trauma theory, race, migration, prison politics, surveillance. Materials include film, visual arts, and the natural sciences. Excerpts from select texts by influential cultural theorists will help us to develop the analytical skills necessary to uncover the social critique hidden beneath Gothic fiction?s entertaining ?chill and thrill? surface."
FRSEMR 61Q - Language: The Origins of Meaning,FRSEMR 61Q , Language: The Origins of Meaning,"Description:  How do languages work? Why are they so distinctly human in the natural world? Is language a creation of our intelligence, i.e. we speak, because we are smart, or the other way around? Birds produce sophisticated songs. Do bird songs mean anything? They do, in some way. They serve, for example, as predator warnings or mating calls. Humans too, like birds, can produce music. But for effective day to day communication (or, say, to develop a scientific theory, etc.), we need languages with words and sentences, i.e. the kind of languages which is unique to our species. Do all languages, in spite of looking so diverse, share a common structure? For example, in English words fall into categories: cat is a noun, meow is a verb. Do all languages have nouns and verbs? A fairly recent turning point in addressing these fundamental questions has been to view language as a computational device. This is enabling us to build effective models of how languages are structured so as to empower us with the ability to create meaning; which, in turn, is shedding light, more and more, on who we are. The seminar will explore how natural languages come to create meaning and invite participants to develop their own linguistic analyses through modern logical and computational tools."
FRSEMR 61R - Shape Shifting Your Reality,FRSEMR 61R , Shape Shifting Your Reality,"Description:  This seminar investigates various forms of art making in order to answer one central question: how to process the experiences of daily life by expressing them in a work of art. The creative parts of the course will take place inside the sculpture studio of VES, but collecting the materials to use will happen outside it, as we gather ?found objects? at places like the Harvard Recycling Center, which will in turn offer us new perspectives on the use of materials in our everyday life at Harvard and beyond. On a field trip to New York City we will visit different locations where an artwork and its urban environment have influenced one another. The seminar includes a broad introduction to various methodologies of artistic creation, not only tangible but also intangible (e.g., sound recordings). Weekly practical and reading assignments are required. By end of the semester, we will present our works in an informal exhibition/intervention/happening."
"FRSEMR 61S - Baseball as Philosophy: God, Beauty, and Morality",FRSEMR 61S ," Baseball as Philosophy: God, Beauty, and Morality","Description:  Even seemingly commonplace features of the world offer us a route to inquiring into complex ideas and phenomena. You can think of this seminar as, in part, a sort of existence proof of that claim. Using baseball as a focusing lens, we will endeavor to cover a fairly large swath of philosophical terrain, including a more focused investigation of issues in ethics. We will consider, among other things, how baseball can help us understand: God?s relationship to morality; why a loving God would allow evil; indeterminate concepts; what makes something beautiful, or aesthetically valuable; social justice and income distributions; the moral permissibility of violating rules within a game; and the moral permissibility of biomedical enhancements to humans. Our investigation will put us in close contact with both contemporary scholarly writing on baseball, and canonical philosophical thinkers, starting with Plato. In addition to being the greatest game ever created, baseball offers surprisingly fertile ground for thinking about some of the deepest issues across philosophy."
FRSEMR 61U - Reading the Novella: Form and Suspense in Short Fiction,FRSEMR 61U , Reading the Novella: Form and Suspense in Short Fiction,"Description:  Short enough to read in a single sitting, but more complex and absorbing than short stories, novellas give us some of our most intense reading experiences. Indeed, many of the enduring classics of world literature, from Melville?s Benito Cereno to Tolstoy?s The Death of Ivan Ilich, take advantage of the novella's compression and acceleration of plot??features that are also suited to horror, mystery, and other forms of ?genre? fiction. In this seminar, we will read some of the great masters of the novella form, including Henry James, Leo Tolstoy, Thomas Mann, Alice Munro, Katherine Anne Porter, and James Joyce, as well as other examples from around the world, including Eastern Europe, China, and Japan. Readings of 50-125 pages a week (all of it in English) will allow us to work closely with some classics of modern fiction, going down to the level of word choice and sentence structure, but we?ll also consider the way authors build and sustain suspense, the different forms of narrative resolution, and other questions of plotting and structure. We will also talk about how to get the most out of your weekly reading experiences?I?ll ask you to set aside solitary time for your reading each week and, as far as possible, to read each novella in just one or two sittings. You'll keep a reading journal, including 2-3 pages of unstructured writing each week; a number of short papers, including creative assignments, will help you understand the choices made by authors as they shape their stories for this most demanding and exciting of fictional forms."
FRSEMR 61W - This is the End of the World,FRSEMR 61W , This is the End of the World,"Description:  For millennia the end of the world has been feared, imagined, and exorcized by gifted writers, religious leaders, and intellectuals from the most diverse cultural backgrounds. Scholars have even suggested that ? over the last few decades ? such a worldview centered around an imminent end has become hegemonic by appearing in an almost endless number of very popular media stretching from blockbuster movies to comic books. This seminar will explore the cultural reasons behind this paradoxical attraction of humans towards fantasies detailing the end of the known world in catastrophic and often terrorizing colors. Imaginations of the end seem to have begun with the birth of the ?apocalypse? as a literary genre in ancient Judaism and Christianity. The seminar will follow some trajectories of these fantasies by comparing and contrasting exoteric ancient and medieval religious texts with modern and contemporary novels and movies. The ultimate goal will be to see how the rupture of social bonds, zombie or demonic attacks, and natural disasters are preferential occasions to reflect on the relationship of humans with nature, with the supernatural, and with each other. A few scholarly essays will be assigned, but the largest part of the course will be occupied by the direct reading, viewing, and discussion of primary materials (with the final opportunity to write your own tale of ?the end of the world?)."
FRSEMR 61X - Soft Power: The 21st Century Art Museum,FRSEMR 61X , Soft Power: The 21st Century Art Museum,"Description:  What are museums good for in the twenty-first century? Should they be temples of scholarship or purveyors of popular entertainment? Are they places in which we seek contemplative refuge in the experience of ?beauty,? or are they viable sites in which to work for social justice? Should we be investing public funds in museums, or are they a luxury best supported by private sources? To whom do museum collections ?belong?? Art museums today are thriving, yet they have never faced so many contentious questions about their role and responsibilities. Co-led by two curators at the Harvard Art Museums, this seminar will consider the big issues facing art museums across the globe today. The course is intended for both long-time museum goers, as well as those who have never set foot in an art gallery. We begin with a primer on museum basics?the work of collecting, conservation, display, and research?and an introduction to the many resources of the Harvard Art Museums. In the second half of the seminar, we consider the challenges that face both august, traditional institutions?like the Metropolitan Museum of Art in New York?as well as younger, start-up museums like the private/ public collections being established across Asia."
"FRSEMR 62C - The Revolution Will Not Be Televised (Russian Revolution Imagined, Documented, Advertised)",FRSEMR 62C ," The Revolution Will Not Be Televised (Russian Revolution Imagined, Documented, Advertised)","Description:  Political change takes place in images and on screens as much as on the streets. Activists, artists and politicians have long understood that pictures speak to global audiences beyond spoken language. However images serve to expose and document as much as to mask and suppress other realities. This seminar examines the role images played in the Russian Revolution of 1917 in its attempts to fundamentally transform existing social order. The 100th anniversary of the Russian Revolution in the fall of 2017 serves as an occasion to explore it as one of the first political uprisings in which modern media ? photography, poster art, moving images ? were used to imagine, document, represent and suppress revolutionary change.Even before 1917, Russian artists ignited revolutionary imagination in breaking with representational conventions and bringing new media into their creative work. The Soviet State subsequently adapted their representational strategies and new technologies. In 1918, the so-called Soviet agitation trains traveled to remote villages bringing documentary footage of the Russian Revolution to mostly illiterate peasant audiences, spreading the visual story of revolution before the coming of television. We will consider the legacy of the imaginings, transmissions and visual manipulations of history, looking at photography, visual art, documentary and feature film, folk art, children?s drawings, propaganda posters, and public spectacles and festivals. We will also read theoretical texts by artists, writers, filmmakers and politicians who imagined the new world and the role of visual art and new media in its transformation. What kind of social conditions made the new aesthetic choices relevant? Who is doing the depicting and what is and is not shown? What does it mean to visualize politics more broadly?"
FRSEMR 62D - Voyages: Extraordinary and Wondrous Journeys through This and Other Worlds,FRSEMR 62D , Voyages: Extraordinary and Wondrous Journeys through This and Other Worlds,"Description:  Together we will go on journeys over land, over sea, and into the deepest reaches of the human imagination. Great artistic works and big ideas will carry us through vast expanses of time and space. We will think about how the voyage is a fundamental aspect of the human condition, how travel to and through familiar, exotic, and otherworldly places raises basic questions about humanity, the possibilities of knowledge and imagining, and the interdisciplinary nature of our own minds. Our seminar will contemplate how people make sense of themselves, their histories, and the world around them. By contemplating voyage narratives of the commonplace and the fantastical, the visionary and the terrifying, the monstrous and the familiar, we will scrutinize how travel may occur in time, space, and speculative and supernatural worlds, and how some journeys happen as we sit still. The seminar encourages participants to cultivate their own curiosity as well as a capacious vision of the world, a culture of debate, and a love of ideas. We will see how stories of various kinds of journeys rest at the heart of the humanities on a truly global scale. A few questions that will guide our collective study of voyages are: what is the relationship between reason and passion? Between lived experience, story-telling, and self-reflection? How might we appreciate cultural difference without abandoning a notion of essential human values? Finally, the seminar seeks to open ways for students to enrich not only their future studies but also their lives."
FRSEMR 62G - The Rise and Fall of the Machine: Technology and Its Critics,FRSEMR 62G , The Rise and Fall of the Machine: Technology and Its Critics,"Description:  This freshman seminar investigates the history of six modern machines?the train, the camera, the radio, the mainframe computer, the personal computer, and the Internet?to trace shifting ideas about the relationship between technology and progress. Machines like these do a lot of things: they document the world; they advance scientific research; they make goods cheaper; they accelerate transportation and communication; they produce knowledge and diffuse information. Do they make the world a better place? Boosters and critics have debated this question since the Enlightenment. This hands-on seminar, in which we?ll grapple with the machines themselves, using Harvard?s Collection of Historical Scientific Instruments (CHSI) and the MIT Museum, asks students to wrestle with one of the most urgent and fundamental questions of the twenty-first century: What is the end of innovation? Students from all backgrounds are welcome, from engineers to artists. The chief work of the course is reading, listening, and watching: we?ll read essays, watch films, and listen to broadcasts. You?ll be asked to provide a response to each week?s materials before each seminar meeting. Another piece of work for this course is making: your final project will be either A) a machine of your own design (you could either build it or submit plans for it) or B) a product manufactured by a machine that we have studied (e.g., you could make a film or a podcast). Either way, you?ll also submit an essay, explaining how your machine or product makes the world a better place."
